YearQuarter,Race_Ethnic,EDUC_LTD,Child_Status,Unemp,in_LF,WTFINL
2015Q1,"Black, Non-Hispanic",< HS,No Children,0,0,386807.9591
2015Q1,"Black, Non-Hispanic",< HS,No Children,0,1,268355.7029
2015Q1,"Black, Non-Hispanic",< HS,No Children,1,1,58690.6249
2015Q1,"Black, Non-Hispanic",< HS,Older Children,0,0,342976.5224
2015Q1,"Black, Non-Hispanic",< HS,Older Children,0,1,458765.3641
2015Q1,"Black, Non-Hispanic",< HS,Older Children,1,1,122435.2134
2015Q1,"Black, Non-Hispanic",< HS,Child < 5,0,0,192811.7992
2015Q1,"Black, Non-Hispanic",< HS,Child < 5,0,1,128690.5183
2015Q1,"Black, Non-Hispanic",< HS,Child < 5,1,1,66513.3531
2015Q1,"Black, Non-Hispanic",High School Diploma,No Children,0,0,974224.1174
2015Q1,"Black, Non-Hispanic",High School Diploma,No Children,0,1,1774853.2213
2015Q1,"Black, Non-Hispanic",High School Diploma,No Children,1,1,158697.0459
2015Q1,"Black, Non-Hispanic",High School Diploma,Older Children,0,0,858667.602
2015Q1,"Black, Non-Hispanic",High School Diploma,Older Children,0,1,2190238.8801
2015Q1,"Black, Non-Hispanic",High School Diploma,Older Children,1,1,231896.5422
2015Q1,"Black, Non-Hispanic",High School Diploma,Child < 5,0,0,423289.7959
2015Q1,"Black, Non-Hispanic",High School Diploma,Child < 5,0,1,667378.8665
2015Q1,"Black, Non-Hispanic",High School Diploma,Child < 5,1,1,105801.6756
2015Q1,"Black, Non-Hispanic",Some College,No Children,0,0,817919.6734
2015Q1,"Black, Non-Hispanic",Some College,No Children,0,1,2325566.2482
2015Q1,"Black, Non-Hispanic",Some College,No Children,1,1,197182.2663
2015Q1,"Black, Non-Hispanic",Some College,Older Children,0,0,684965.3515
2015Q1,"Black, Non-Hispanic",Some College,Older Children,0,1,3209870.8229
2015Q1,"Black, Non-Hispanic",Some College,Older Children,1,1,361434.0236
2015Q1,"Black, Non-Hispanic",Some College,Child < 5,0,0,263696.1676
2015Q1,"Black, Non-Hispanic",Some College,Child < 5,0,1,1024143.3207
2015Q1,"Black, Non-Hispanic",Some College,Child < 5,1,1,122745.1843
2015Q1,"Black, Non-Hispanic",College +,No Children,0,0,394608.6745
2015Q1,"Black, Non-Hispanic",College +,No Children,0,1,2488170.4112
2015Q1,"Black, Non-Hispanic",College +,No Children,1,1,156025.6015
2015Q1,"Black, Non-Hispanic",College +,Older Children,0,0,309349.9378
2015Q1,"Black, Non-Hispanic",College +,Older Children,0,1,2468722.3465
2015Q1,"Black, Non-Hispanic",College +,Older Children,1,1,67636.2233
2015Q1,"Black, Non-Hispanic",College +,Child < 5,0,0,177936.2526
2015Q1,"Black, Non-Hispanic",College +,Child < 5,0,1,777704.9992
2015Q1,"Black, Non-Hispanic",College +,Child < 5,1,1,50109.5237
2015Q1,Hispanic,< HS,No Children,0,0,831803.1459
2015Q1,Hispanic,< HS,No Children,0,1,904563.461
2015Q1,Hispanic,< HS,No Children,1,1,112116.9756
2015Q1,Hispanic,< HS,Older Children,0,0,2604407.3776
2015Q1,Hispanic,< HS,Older Children,0,1,2945258.943
2015Q1,Hispanic,< HS,Older Children,1,1,271621.8942
2015Q1,Hispanic,< HS,Child < 5,0,0,1497707.3235
2015Q1,Hispanic,< HS,Child < 5,0,1,708436.3196
2015Q1,Hispanic,< HS,Child < 5,1,1,105713.0035
2015Q1,Hispanic,High School Diploma,No Children,0,0,826607.0289
2015Q1,Hispanic,High School Diploma,No Children,0,1,1616519.9443
2015Q1,Hispanic,High School Diploma,No Children,1,1,94867.2562
2015Q1,Hispanic,High School Diploma,Older Children,0,0,1581246.5871
2015Q1,Hispanic,High School Diploma,Older Children,0,1,3254735.1393
2015Q1,Hispanic,High School Diploma,Older Children,1,1,217182.5679
2015Q1,Hispanic,High School Diploma,Child < 5,0,0,950256.1575
2015Q1,Hispanic,High School Diploma,Child < 5,0,1,914711.3565
2015Q1,Hispanic,High School Diploma,Child < 5,1,1,116895.2653
2015Q1,Hispanic,Some College,No Children,0,0,512220.3224
2015Q1,Hispanic,Some College,No Children,0,1,1841336.6614
2015Q1,Hispanic,Some College,No Children,1,1,104317.5312
2015Q1,Hispanic,Some College,Older Children,0,0,879549.2996
2015Q1,Hispanic,Some College,Older Children,0,1,2929263.5616
2015Q1,Hispanic,Some College,Older Children,1,1,176712.601
2015Q1,Hispanic,Some College,Child < 5,0,0,704608.4333
2015Q1,Hispanic,Some College,Child < 5,0,1,1097597.2379
2015Q1,Hispanic,Some College,Child < 5,1,1,71899.8386
2015Q1,Hispanic,College +,No Children,0,0,344760.7013
2015Q1,Hispanic,College +,No Children,0,1,1925044.6624
2015Q1,Hispanic,College +,No Children,1,1,81081.9364
2015Q1,Hispanic,College +,Older Children,0,0,526516.2274
2015Q1,Hispanic,College +,Older Children,0,1,1891350.7417
2015Q1,Hispanic,College +,Older Children,1,1,55295.4329
2015Q1,Hispanic,College +,Child < 5,0,0,371872.0994
2015Q1,Hispanic,College +,Child < 5,0,1,984905.4778
2015Q1,Hispanic,College +,Child < 5,1,1,20231.4719
2015Q1,"White, Non-Hispanic",< HS,No Children,0,0,1213155.0162
2015Q1,"White, Non-Hispanic",< HS,No Children,0,1,744284.0591
2015Q1,"White, Non-Hispanic",< HS,No Children,1,1,86541.5143
2015Q1,"White, Non-Hispanic",< HS,Older Children,0,0,1047785.0972
2015Q1,"White, Non-Hispanic",< HS,Older Children,0,1,876650.9888
2015Q1,"White, Non-Hispanic",< HS,Older Children,1,1,119170.7165
2015Q1,"White, Non-Hispanic",< HS,Child < 5,0,0,439713.8791
2015Q1,"White, Non-Hispanic",< HS,Child < 5,0,1,197829.0002
2015Q1,"White, Non-Hispanic",< HS,Child < 5,1,1,42926.726
2015Q1,"White, Non-Hispanic",High School Diploma,No Children,0,0,3354691.2835
2015Q1,"White, Non-Hispanic",High School Diploma,No Children,0,1,6824561.7667
2015Q1,"White, Non-Hispanic",High School Diploma,No Children,1,1,347086.632
2015Q1,"White, Non-Hispanic",High School Diploma,Older Children,0,0,3473864.5595
2015Q1,"White, Non-Hispanic",High School Diploma,Older Children,0,1,7746065.5859
2015Q1,"White, Non-Hispanic",High School Diploma,Older Children,1,1,371480.0693
2015Q1,"White, Non-Hispanic",High School Diploma,Child < 5,0,0,1563733.4637
2015Q1,"White, Non-Hispanic",High School Diploma,Child < 5,0,1,1888835.6235
2015Q1,"White, Non-Hispanic",High School Diploma,Child < 5,1,1,90195.0571
2015Q1,"White, Non-Hispanic",Some College,No Children,0,0,2805933.8889
2015Q1,"White, Non-Hispanic",Some College,No Children,0,1,9473201.4871
2015Q1,"White, Non-Hispanic",Some College,No Children,1,1,489025.0339
2015Q1,"White, Non-Hispanic",Some College,Older Children,0,0,3504359.2327
2015Q1,"White, Non-Hispanic",Some College,Older Children,0,1,11488417.74
2015Q1,"White, Non-Hispanic",Some College,Older Children,1,1,446382.2095
2015Q1,"White, Non-Hispanic",Some College,Child < 5,0,0,1878267.0513
2015Q1,"White, Non-Hispanic",Some College,Child < 5,0,1,3677536.3265
2015Q1,"White, Non-Hispanic",Some College,Child < 5,1,1,199632.4435
2015Q1,"White, Non-Hispanic",College +,No Children,0,0,2340433.9263
2015Q1,"White, Non-Hispanic",College +,No Children,0,1,18029031.452
2015Q1,"White, Non-Hispanic",College +,No Children,1,1,409820.8828
